Date,Adj Close,year,month,day
1990/1/2,359.690002,1990,1,2
1990/1/3,358.76001,1990,1,3
1990/1/4,355.670013,1990,1,4
1990/1/5,352.200012,1990,1,5
1990/1/8,353.790009,1990,1,8
1990/1/9,349.619995,1990,1,9
1990/1/10,347.309998,1990,1,10
1990/1/11,348.529999,1990,1,11
1990/1/12,339.929993,1990,1,12
1990/1/15,337,1990,1,15
1990/1/16,340.75,1990,1,16
1990/1/17,337.399994,1990,1,17
1990/1/18,338.190002,1990,1,18
1990/1/19,339.149994,1990,1,19
1990/1/22,330.380005,1990,1,22
1990/1/23,331.609985,1990,1,23
1990/1/24,330.26001,1990,1,24
1990/1/25,326.079987,1990,1,25
1990/1/26,325.799988,1990,1,26
1990/1/29,325.200012,1990,1,29
1990/1/30,322.980011,1990,1,30
1990/1/31,329.079987,1990,1,31
1990/2/1,328.790009,1990,2,1
1990/2/2,330.920013,1990,2,2
1990/2/5,331.850006,1990,2,5
1990/2/6,329.660004,1990,2,6
1990/2/7,333.75,1990,2,7
1990/2/8,332.959991,1990,2,8
1990/2/9,333.619995,1990,2,9
1990/2/12,330.079987,1990,2,12
1990/2/13,331.019989,1990,2,13
1990/2/14,332.01001,1990,2,14
1990/2/15,334.890015,1990,2,15
1990/2/16,332.720001,1990,2,16
1990/2/20,327.98999,1990,2,20
1990/2/21,327.670013,1990,2,21
1990/2/22,325.700012,1990,2,22
1990/2/23,324.149994,1990,2,23
1990/2/26,328.670013,1990,2,26
1990/2/27,330.26001,1990,2,27
1990/2/28,331.890015,1990,2,28
1990/3/1,332.73999,1990,3,1
1990/3/2,335.540009,1990,3,2
1990/3/5,333.73999,1990,3,5
1990/3/6,337.929993,1990,3,6
1990/3/7,336.950012,1990,3,7
1990/3/8,340.269989,1990,3,8
1990/3/9,337.929993,1990,3,9
1990/3/12,338.670013,1990,3,12
1990/3/13,336,1990,3,13
1990/3/14,336.869995,1990,3,14
1990/3/15,338.070007,1990,3,15
1990/3/16,341.910004,1990,3,16
1990/3/19,343.529999,1990,3,19
1990/3/20,341.570007,1990,3,20
1990/3/21,339.73999,1990,3,21
1990/3/22,335.690002,1990,3,22
1990/3/23,337.220001,1990,3,23
1990/3/26,337.630005,1990,3,26
1990/3/27,341.5,1990,3,27
1990/3/28,342,1990,3,28
1990/3/29,340.790009,1990,3,29
1990/3/30,339.940002,1990,3,30
1990/4/2,338.700012,1990,4,2
1990/4/3,343.640015,1990,4,3
1990/4/4,341.089996,1990,4,4
1990/4/5,340.730011,1990,4,5
1990/4/6,340.079987,1990,4,6
1990/4/9,341.369995,1990,4,9
1990/4/10,342.070007,1990,4,10
1990/4/11,341.920013,1990,4,11
1990/4/12,344.339996,1990,4,12
1990/4/16,344.73999,1990,4,16
1990/4/17,344.679993,1990,4,17
1990/4/18,340.720001,1990,4,18
1990/4/19,338.089996,1990,4,19
1990/4/20,335.119995,1990,4,20
1990/4/23,331.049988,1990,4,23
1990/4/24,330.359985,1990,4,24
1990/4/25,332.029999,1990,4,25
1990/4/26,332.920013,1990,4,26
1990/4/27,329.109985,1990,4,27
1990/4/30,330.799988,1990,4,30
1990/5/1,332.25,1990,5,1
1990/5/2,334.480011,1990,5,2
1990/5/3,335.570007,1990,5,3
1990/5/4,338.390015,1990,5,4
1990/5/7,340.529999,1990,5,7
1990/5/8,342.01001,1990,5,8
1990/5/9,342.859985,1990,5,9
1990/5/10,343.820007,1990,5,10
1990/5/11,352,1990,5,11
1990/5/14,354.75,1990,5,14
1990/5/15,354.279999,1990,5,15
1990/5/16,354,1990,5,16
1990/5/17,354.470001,1990,5,17
1990/5/18,354.640015,1990,5,18
1990/5/21,358,1990,5,21
1990/5/22,358.429993,1990,5,22
1990/5/23,359.290009,1990,5,23
1990/5/24,358.410004,1990,5,24
1990/5/25,354.579987,1990,5,25
1990/5/29,360.649994,1990,5,29
1990/5/30,360.859985,1990,5,30
1990/5/31,361.230011,1990,5,31
1990/6/1,363.160004,1990,6,1
1990/6/4,367.399994,1990,6,4
1990/6/5,366.640015,1990,6,5
1990/6/6,364.959991,1990,6,6
1990/6/7,363.149994,1990,6,7
1990/6/8,358.709991,1990,6,8
1990/6/11,361.630005,1990,6,11
1990/6/12,366.25,1990,6,12
1990/6/13,364.899994,1990,6,13
1990/6/14,362.899994,1990,6,14
1990/6/15,362.910004,1990,6,15
1990/6/18,356.880005,1990,6,18
1990/6/19,358.470001,1990,6,19
1990/6/20,359.100006,1990,6,20
1990/6/21,360.470001,1990,6,21
1990/6/22,355.429993,1990,6,22
1990/6/25,352.309998,1990,6,25
1990/6/26,352.059998,1990,6,26
1990/6/27,355.140015,1990,6,27
1990/6/28,357.630005,1990,6,28
1990/6/29,358.019989,1990,6,29
1990/7/2,359.540009,1990,7,2
1990/7/3,360.160004,1990,7,3
1990/7/5,355.679993,1990,7,5
1990/7/6,358.420013,1990,7,6
1990/7/9,359.519989,1990,7,9
1990/7/10,356.48999,1990,7,10
1990/7/11,361.230011,1990,7,11
1990/7/12,365.440002,1990,7,12
1990/7/13,367.309998,1990,7,13
1990/7/16,368.950012,1990,7,16
1990/7/17,367.519989,1990,7,17
1990/7/18,364.220001,1990,7,18
1990/7/19,365.320007,1990,7,19
1990/7/20,361.609985,1990,7,20
1990/7/23,355.309998,1990,7,23
1990/7/24,355.790009,1990,7,24
1990/7/25,357.089996,1990,7,25
1990/7/26,355.910004,1990,7,26
1990/7/27,353.440002,1990,7,27
1990/7/30,355.549988,1990,7,30
1990/7/31,356.149994,1990,7,31
1990/8/1,355.519989,1990,8,1
1990/8/2,351.480011,1990,8,2
1990/8/3,344.859985,1990,8,3
1990/8/6,334.429993,1990,8,6
1990/8/7,334.829987,1990,8,7
1990/8/8,338.350006,1990,8,8
1990/8/9,339.940002,1990,8,9
1990/8/10,335.519989,1990,8,10
1990/8/13,338.839996,1990,8,13
1990/8/14,339.390015,1990,8,14
1990/8/15,340.059998,1990,8,15
1990/8/16,332.390015,1990,8,16
1990/8/17,327.829987,1990,8,17
1990/8/20,328.51001,1990,8,20
1990/8/21,321.859985,1990,8,21
1990/8/22,316.549988,1990,8,22
1990/8/23,307.059998,1990,8,23
1990/8/24,311.51001,1990,8,24
1990/8/27,321.440002,1990,8,27
1990/8/28,321.339996,1990,8,28
1990/8/29,324.190002,1990,8,29
1990/8/30,318.709991,1990,8,30
1990/8/31,322.559998,1990,8,31
1990/9/4,323.089996,1990,9,4
1990/9/5,324.390015,1990,9,5
1990/9/6,320.459991,1990,9,6
1990/9/7,323.399994,1990,9,7
1990/9/10,321.630005,1990,9,10
1990/9/11,321.040009,1990,9,11
1990/9/12,322.540009,1990,9,12
1990/9/13,318.649994,1990,9,13
1990/9/14,316.829987,1990,9,14
1990/9/17,317.769989,1990,9,17
1990/9/18,318.600006,1990,9,18
1990/9/19,316.600006,1990,9,19
1990/9/20,311.480011,1990,9,20
1990/9/21,311.320007,1990,9,21
1990/9/24,304.589996,1990,9,24
1990/9/25,308.26001,1990,9,25
1990/9/26,305.059998,1990,9,26
1990/9/27,300.970001,1990,9,27
1990/9/28,306.049988,1990,9,28
1990/10/1,314.940002,1990,10,1
1990/10/2,315.209991,1990,10,2
1990/10/3,311.399994,1990,10,3
1990/10/4,312.690002,1990,10,4
1990/10/5,311.5,1990,10,5
1990/10/8,313.480011,1990,10,8
1990/10/9,305.100006,1990,10,9
1990/10/10,300.390015,1990,10,10
1990/10/11,295.459991,1990,10,11
1990/10/12,300.029999,1990,10,12
1990/10/15,303.230011,1990,10,15
1990/10/16,298.920013,1990,10,16
1990/10/17,298.76001,1990,10,17
1990/10/18,305.73999,1990,10,18
1990/10/19,312.480011,1990,10,19
1990/10/22,314.76001,1990,10,22
1990/10/23,312.359985,1990,10,23
1990/10/24,312.600006,1990,10,24
1990/10/25,310.170013,1990,10,25
1990/10/26,304.709991,1990,10,26
1990/10/29,301.880005,1990,10,29
1990/10/30,304.059998,1990,10,30
1990/10/31,304,1990,10,31
1990/11/1,307.019989,1990,11,1
1990/11/2,311.850006,1990,11,2
1990/11/5,314.589996,1990,11,5
1990/11/6,311.619995,1990,11,6
1990/11/7,306.01001,1990,11,7
1990/11/8,307.609985,1990,11,8
1990/11/9,313.73999,1990,11,9
1990/11/12,319.480011,1990,11,12
1990/11/13,317.670013,1990,11,13
1990/11/14,320.399994,1990,11,14
1990/11/15,317.019989,1990,11,15
1990/11/16,317.119995,1990,11,16
1990/11/19,319.339996,1990,11,19
1990/11/20,315.309998,1990,11,20
1990/11/21,316.029999,1990,11,21
1990/11/23,315.100006,1990,11,23
1990/11/26,316.51001,1990,11,26
1990/11/27,318.100006,1990,11,27
1990/11/28,317.950012,1990,11,28
1990/11/29,316.420013,1990,11,29
1990/11/30,322.220001,1990,11,30
1990/12/3,324.100006,1990,12,3
1990/12/4,326.350006,1990,12,4
1990/12/5,329.920013,1990,12,5
1990/12/6,329.070007,1990,12,6
1990/12/7,327.75,1990,12,7
1990/12/10,328.890015,1990,12,10
1990/12/11,326.440002,1990,12,11
1990/12/12,330.190002,1990,12,12
1990/12/13,329.339996,1990,12,13
1990/12/14,326.820007,1990,12,14
1990/12/17,326.019989,1990,12,17
1990/12/18,330.049988,1990,12,18
1990/12/19,330.200012,1990,12,19
1990/12/20,330.119995,1990,12,20
1990/12/21,331.75,1990,12,21
1990/12/24,329.899994,1990,12,24
1990/12/26,330.850006,1990,12,26
1990/12/27,328.290009,1990,12,27
1990/12/28,328.720001,1990,12,28
1990/12/31,330.220001,1990,12,31
1991/1/2,326.450012,1991,1,2
1991/1/3,321.910004,1991,1,3
1991/1/4,321,1991,1,4
1991/1/7,315.440002,1991,1,7
1991/1/8,314.899994,1991,1,8
1991/1/9,311.48999,1991,1,9
1991/1/10,314.529999,1991,1,10
1991/1/11,315.230011,1991,1,11
1991/1/14,312.48999,1991,1,14
1991/1/15,313.730011,1991,1,15
1991/1/16,316.170013,1991,1,16
1991/1/17,327.970001,1991,1,17
1991/1/18,332.230011,1991,1,18
1991/1/21,331.059998,1991,1,21
